id,name,price
0,Small Silk Keyboard,2181
1,Durable Plastic Bag,1002
2,Synergistic Steel Knife,4966
3,Mediocre Steel Shirt,1640
4,Incredible Steel Table,2066
5,Awesome Paper Plate,2815
6,Enormous Concrete Clock,4920
7,Durable Granite Computer,4059
8,Rustic Wool Clock,1461
9,Heavy Duty Plastic Gloves,368
10,Gorgeous Concrete Shirt,4652
11,Sleek Silk Keyboard,2540
12,Sleek Marble Gloves,2977
13,Lightweight Iron Plate,3742
14,Incredible Concrete Knife,4953
15,Heavy Duty Iron Wallet,3136
16,Aerodynamic Cotton Keyboard,3831
17,Aerodynamic Aluminum Computer,1097
18,Ergonomic Paper Shirt,3483
19,Synergistic Copper Computer,1780
